File Name,Positive Score,Negative Score,Polarity Score,Subjectivity Score,Average Sentence Length,Percentage of Complex Words,Fog Index
blackassign0019.txt,49,5,0.8148147997256519,0.06323185004305404,11.229166666666666,35.99257884972171,18.88869820655535
blackassign0031.txt,57,31,0.2954545420971075,0.1034077554601554,12.418604651162791,31.647940074906366,17.626617890427664
blackassign0025.txt,13,10,0.1304347769376184,0.048117154711051977,26.434782608695652,20.559210526315788,18.797597254004575
blackassign0024.txt,19,2,0.8095237709750585,0.07342657316983715,18.789473684210527,33.61344537815126,20.961167624944718
blackassign0030.txt,45,28,0.23287670913867523,0.11850649331411284,10.6375,23.031727379553466,13.467690951821385
blackassign0018.txt,27,6,0.6363636170798904,0.0577933449075423,16.22222222222222,31.232876712328768,18.982039573820398
blackassign0026.txt,18,13,0.1612903173777317,0.06553911191217947,14.75609756097561,30.082644628099175,17.935496875629916
blackassign0032.txt,44,18,0.41935483194588985,0.08998548608129828,9.052083333333334,26.69735327963176,14.299774645186037
blackassign0033.txt,51,20,0.4366197121602858,0.08513189438233586,13.4125,27.213420316868593,16.25036812674744
blackassign0027.txt,18,21,-0.0769230749506904,0.06890459351783641,14.8125,24.753867791842477,15.826547116736993
blackassign0023.txt,26,11,0.4054053944485029,0.0620805368085897,11.841269841269842,27.882037533512065,15.889322949912765
blackassign0037.txt,26,9,0.4857142718367351,0.10144927506826297,12.277777777777779,18.778280542986426,12.422423328305683
blackassign0022.txt,11,9,0.09999999500000024,0.10638297815753735,8.428571428571429,31.779661016949152,16.08329297820823
blackassign0034.txt,32,15,0.3617021199637847,0.07679738549542911,12.825396825396826,24.00990099009901,14.734119126198335
blackassign0008.txt,28,7,0.5999999828571434,0.07216494830481454,16.08108108108108,41.17647058823529,22.90302066772655
blackassign0009.txt,29,38,-0.1343283562040544,0.11037891250349438,15.285714285714286,34.84646194926569,20.05287049399199
blackassign0021.txt,17,37,-0.37037036351166,0.10207939489209944,13.48,35.459940652818986,19.575976261127597
blackassign0035.txt,15,8,0.3043478128544429,0.06424580987640835,10.08695652173913,23.92241379310345,13.603748125937031
blackassign0091.txt,19,24,-0.11627906706327752,0.09267241359337842,14.567567567567568,33.024118738404454,19.036674522388807
blackassign0085.txt,25,27,-0.03846153772189351,0.07212205260454639,7.652892561983471,33.36933045356372,16.408889206218877
blackassign0052.txt,46,24,0.31428570979591847,0.08588957044676127,9.5,27.913533834586467,14.965413533834587
blackassign0046.txt,19,0,0.9999999473684238,0.03999999991578947,10.696428571428571,33.7228714524207,17.76772000953971
blackassign0047.txt,11,5,0.37499997656250145,0.04312668451987416,11.825,37.84355179704017,19.867420718816067
blackassign0053.txt,33,1,0.9411764429065753,0.09999999970588236,10.775,26.91415313225058,15.075661252900233
blackassign0090.txt,29,38,-0.1343283562040544,0.12430426693078986,9.14864864864865,27.17872968980798,14.530951335382651
blackassign0086.txt,39,14,0.47169810430758297,0.06317044092589935,11.924731182795698,25.969341749323714,15.157629172847766
blackassign0079.txt,26,36,-0.16129031997918838,0.07607361953855997,14.458333333333334,26.12872238232469,16.23482228626321
blackassign0045.txt,73,37,0.3272727242975207,0.15406162443408736,80.2,30.54862842892768,44.29945137157108
blackassign0051.txt,14,9,0.21739129489603065,0.06948640462390815,13.8,28.743961352657006,17.017584541062803
blackassign0050.txt,22,62,-0.476190470521542,0.12537313414123413,14.714285714285714,26.941747572815533,16.6624133148405
